year,sheetIndex,startRow,keepCol,prov,total.rev,ratio,total.exp,additional.transfer,balance transfer,target.trans,target.trans.foreign,target.trans.missions
2001,1,16,"2:4, 6, 5, 7",2,3,4,6,5,,7,,
2002,1,19,"2:6, 8",2,3,4,6,5,,8,,
2003,1,14,"2:6, 8",2,4,5,7,8,9,10,,
2004,1,16,"2:6, 8",2,3,4,5,6,7,8,,
2005,1,12,"2:6, 8",2,3,4,5,6,7,8,,
2006,1,13,"2:6, 8",2,3,4,5,6,7,8,,
2007,9,12,"2:6, 8",2,3,4,5,6,7,8,,
2008,1,10,"2:3, 5:7, 9",2,3,5,6,7,8,9,,
2009,9,13,"2:6, 8",2,3,4,5,6,7,8,,
2010,9,13,"2:6, 8",2,3,4,5,6,7,8,,
2011,9,14,"2:3, 5:7, 9:10",2,3,5,6,7,8,,9,10
2012,9,14,"2:3, 5:7, 9:10",2,3,5,6,7,8,,9,10
2013,9,14,"2:3, 5:7, 9:10",2,3,5,6,7,8,,9,10
2014,9,14,"2:3, 5:7, 9:10",2,3,5,6,7,8,,9,10
2015,9,14,"2:3, 5:7, 9:10",2,3,5,6,7,8,,9,10
2016,9,14,"2:3, 5:7, 9:10",2,3,5,6,7,8,,9,10
2017,7,12,"1, NULL, NULL, NULL, 7, 9:10",2,,,,7,9,,10,11
2018,1,12,"1, NULL, NULL, NULL, 7, 9:10",2,,,,7,9,,10,11
