year,sheetIndex,startRow,keepCol,prov,total.rev,ratio,total.exp,additional.transfer,balance.transfer,minimum.wage.trans,target.trans,target.trans.foreign,target.trans.missions,target.trans.policies,target.trans.programs,target.trans.other.programs,target.trans.national.programs,target.trans.135,target.trans.forestation,target.trans.salary
2003,2,18,"2, 3, 4, 6, 5, 7, 7",2,3,4,6,5,,,,,,,7,,,,,
2004,1,9,"2, 3, 4, 6, 5, 7, 7",2,3,4,6,5,,,,,,,7,,,,,
2005,1,15,"2, 3, 4, 6, 5, 7, 7",2,3,4,5,6,7,,8,9,10,11,,12,13,14,15,
2006,1,15,"2:6, 8, 10",2,3,4,5,6,7,,8,9,10,11,,,12,13,14,15
2007,1,15,"2:6, 8:9",2,3,4,5,6,7,,8,,9,10,11,,,,,
2008,1,18,"2:6, 8:9",2,3,4,5,6,7,,8,,9,10,11,,,,,
2009,1,19,"2:6, 8:9",2,3,4,5,6,7,,8,,9,10,11,,,,,
2010,1,14,"2:6, 9, 10",2,3,4,5,6,7,8,9,,10,11,12,,,,,
2011,8,15,"2:6, 8:9",2,3,4,5,6,7,,8,,9,10,,,,,,
2012,8,15,"2:6, 8:9",2,3,4,5,6,7,,8,,9,10,,,,,,
2013,9,14,"2:6, 8:9",2,3,4,5,,6,7,8,,9,10,11,,,,,
2014,9,14,"2:6, 8:9",2,3,4,5,,6,7,8,,9,10,11,,,,,
2015,9,14,"2:6, 8:9",2,3,4,5,,6,7,8,,9,10,11,,,,,
2016,8,14,"2:6, 8:9",2,3,4,5,,6,7,8,,9,10,11,,,,,
2017,8,14,"2, 3, 5, 8, 6, 7, 7",2,3,5,8,,6,,7,,,,,,,,,
2018,9,13,"2, 3, 7, 14, 9, 9, 9",2,3,7,14,,9,10,,,,,,,,,,
2019,9,14,"2, 3, 7, 14, 9, 9, 9",2,3,7,14,,9,10,,,,,,,,,,
2020,1,14,"2, 3, 7, 14, 9, 9, 9",2,3,7,14,,9,10,,,,,,,,,,
