UBND TỈNH BẮC GIANG Mẫu số 10/CKNS-NSĐP,
BAC GIANG PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","607,000",
1,Thu nội địa - Domestic revenues,"607,000",
II,Thu ngân sách địa phương - Local budget revenues,"2,376,655",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","607,000",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,748,998",
,Bổ sung cân đối - Balancing transfers,"1,292,306",
,Bổ sung có mục tiêu - Target transfers,"456,692",
3,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","8,597",
4,"50% tăng thu 2006 (không kể thu tiền SDĐ) để thực hiện cải cách tiền lương 
50% of exceeding revenues (excl.land user assignment charge) to be used for salary reform","12,060",
III,Chi ngân sách địa phương - Local budget expenditures,"2,376,655",
1,"Chi đầu tư phát triển
Development investment expenditures","811,400",
2,Chi thường xuyên - Recurrent expenditures,"1,411,623",
3,"Chi bổ sung quỹ dự trữ tài chính 
Transfers to Financial reserve fund","1,200",
4,Dự phòng ngân sách - Contingencies,"57,850",
5,"Chi bổ sung mục tiêu từ ngân sách địa phương
Target transfer expenditure by Local budget","2,785",
6,"Chi chương trình mục tiêu quốc gia
National target programs","73,265",
7,Bổ sung có mục tiêu - Target transfers,"6,472",
8,Chi thực hiện cải cách tiền lương từ nguồn tăng thu năm 2006 chuyển sang - Salary reform from 2006 brought forward exceeding revenues,"12,060",
