UBND THÀNH PHỐ ĐÀ NẴNG Mẫu số 10/CKNS-NSĐP DANANG PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","5,310,685",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","3,212,920",
2,Thu từ dầu thô - Oil revenues,,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Customs revenues, net","1,600,000",
II,Thu ngân sách địa phương - Local budget revenues,"4,608,672",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized Revenues","2,991,041",
,"Các khoản thu địa phương hưởng 100%
Revenues with 100% entitlement","1,590,956",
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Shared revenues in percentage","1,400,085",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","315,354",
,Bổ sung cân đối - Balancing transfers,,
,Bổ sung có mục tiêu - Target transfers,"315,354",
3,"Thu chuyển giao giữa các cấp NSĐP
Intergovernment transfers","209,230",
4,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8.Clause 3 - The State Budget Law","300,000",
5,"Tạm ứng tồn ngân KBNN
Advance from treasury","500,000",
6,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","95,282",
7,"Các khoản thu được để lại chi quản lý qua NSNN
Unbalance revenues","197,765",
III,Chi ngân sách địa phương - Local budget expenditures,"4,608,672",
1,Chi đầu tư phát triển - Development investment expenditures,"2,169,513",
2,Chi thường xuyên - Recurrent expenditures,"1,108,364",
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State Budget Law","680,000",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","25,000",
5,"Chi chương trình mục tiêu quốc gia
National Target Programs expenditure","45,088",
6,"Chi chương trình mục tiêu TW bổ sung
Tranfer from Central bugdet to National Target Programs","1,900",
7,Thực hiện cải cách tiền lương - Salary reform expenditure,"60,000",
8,"Bổ sung cho ngân sách huyện, quận
Transfers to districts budgets",,
9,Dự phòng ngân sách - Contingencies,"94,378",
10,"Chi khắc phục hậu quả bão số 6 theo NQ của HĐND
Recover the consecquences of the storm 6 by council resolution","17,434",
11,"Thu chuyển giao giữa các cấp NSĐP
Intergovernment transfers","209,230",
12,"Các khoản thu được để lại chi quản lý qua NSNN
Unbalance revenues","197,765",
