UBND TỈNH ĐỒNG NAI Mẫu số 10/CKNS-NSĐP DONGNAI PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
,,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","9,561,300",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","6,341,300",
2,Thu từ dầu thô - Oil revenues,,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","3,220,000",
4,Thu viện trợ không hoàn lại - Grants,,
II,Thu ngân sách địa phương - Local Budget Revenues,"3,286,933",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","3,187,576",
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","685,480",
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Revenues shared in percentage","2,502,096",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","99,357",
,Bổ sung cân đối - Balancing transfers,,
,Bổ sung có mục tiêu - Target transfers,"99,357",
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8.Clause 3 - The State Budget Law",,
III,Chi ngân sách địa phương - Local Budget Expenditures,"3,286,933",
1,"Chi đầu tư phát triển
Development Investment Expenditures","1,167,277",
2,Chi thường xuyên - Recurrent Expenditures,"2,000,063",
3,"Chi tạo nguồn thực hiện cải cách tiền lương
Salary reform expenditure",,
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","2,910",
5,"Chi trả lãi phát hành trái phiếu hồ chứa nước Cầu Mới
Payment for interests of bonds issuance for Caumoi water Ponds","21,055",
6,Dự phòng - Contingencies,"95,628",
