UBND TỈNH GIA LAI Mẫu số 10/CKNS-NSĐP,
GIALAI PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
,,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,100,000",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","1,084,000",
2,Thu từ dầu thô - Oil revenues,,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","1,000",
4,Thu viện trợ không hoàn lại - Grants,,
5,"Các khoản thu được để lại chi quản lý qua ngân sách
Unbalance revenue","15,000",
II,Thu ngân sách địa phương - Local budget revenues,"2,356,437",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,079,667",
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","381,527",
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Revenues shared in percentage","698,140",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","1,248,680",
,Bổ sung cân đối - Balancing transfers,"808,365",
,Bổ sung có mục tiêu - Target transfers,"440,315",
3,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","13,090",
4,"Các khoản thu để lại quản lý qua ngân sách
Unbalance revenues","15,000",
III,Chi ngân sách địa phương - Local Budget Expenditures,"2,356,437",
1,"Chi đầu tư phát triển
Development investment expenditures","390,240",
2,Chi thường xuyên - Recurrent expenditures,"1,418,392",
3,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial reserve fund","1,400",
4,Dự phòng ngân sách - Contingencies,"54,000",
5,"Chi chương trình MTQG , CT 135, DA 5 triệu ha rừng, các mục tiêu, nhiệm vụ TW bổ sung
Expenditure on national target program, 135 program and five million hectare forestation","440,315",
6,"Chi cải cách tiền lương từ 50% tăng thu
Salary reform expenditure from 50% increase of revenues","37,090",
7,"Các khoản chi được quản lý qua NSNN
Unbalance expenditures","15,000",
