UBND TỈNH KIÊN GIANG Mẫu số 10/CKNS-NSĐP KIENGIANG PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",
I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,921,225",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","1,178,237",
2,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","66,000",
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8.Clause 3 - The State Budget Law","250,000",
4,"Các khoản thu được để lại chi quản lý qua NSNN
Unbalance revenues","426,988",
II,Thu ngân sách địa phương - Local budget revenues,"2,810,202",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,168,237",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","948,077",
,Bổ sung cân đối - Balancing transfers,"621,071",
,Bổ sung có mục tiêu - Target transfers,"327,006",
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8.Clause 3 - The State Budget Law","250,000",
4,"Các khoản thu được để lại chi quản lý qua NSNN
Unbalance revenues","426,988",
5,"Thu chuyển nguồn ngân sách 
Brought forward revenue","16,900",
6,Thu viện trợ - Grants,,
III,Chi ngân sách địa phương - Local budget expenditures,"2,810,202",
1,"Chi đầu tư phát triển
Development investment expenditures","791,133",
2,Chi thường xuyên - Recurrent expenditures,"1,295,277",
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State Budget Law","442,000",
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","2,000",
5,Dự phòng ngân sách - Contingencies,"52,238",
