UBND TỈNH LONG AN Mẫu số 10/CKNS-NSĐP LONGAN PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
,,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,324,000",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","1,202,000",
2,Thu từ dầu thô - Oil revenues,,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","122,000",
4,Thu viện trợ không hoàn lại - Grants,,
II,Thu ngân sách địa phương - Local budget revenues,"1,799,939",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,198,430",
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","414,630",
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Revenues shared in percentage","783,800",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the Central Budget","601,509",
,Bổ sung cân đối - Balancing Transfers,"439,660",
,Bổ sung có mục tiêu - Target Transfers,"161,849",
III,Chi ngân sách địa phương - Local Budget Expenditures,"1,799,500",
1,"Chi đầu tư phát triển
Development Investment Expenditures","433,806",
2,Chi thường xuyên - Recurrent Expenditures,"1,213,487",
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State Budget Law",,
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","1,260",
5,Dự phòng ngân sách - Contingencies,"63,046",
6,"Chi chuyển nguồn ngân sách sang năm sau
Brought forward expenditures",,
