UBND TỈNH SÓC TRĂNG Mẫu số 10/CKNS-NSĐP SOCTRANG PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
,,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","861,700",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","861,700",
2,Thu viện trợ không hoàn lại - Grants,,
II,"Thu ngân sách địa phương (1)
Local Budget Revenues(1)","1,945,286",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","859,200",
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","393,916",
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Revenues shared in percentage","465,284",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfers from the central budget","944,086",
,Bổ sung cân đối - Balancing transfers,"610,666",
,Bổ sung có mục tiêu - Target transfers,"333,420",
3,Thu quản lý qua NSNN - Unbalance revenue,"142,000",
III,"Chi ngân sách địa phương (2)
Local Budget Expenditures (2)","1,945,286",
1,"Chi đầu tư phát triển
Development investment expenditures","222,600",
2,Chi thường xuyên - Recurrent expenditures,"703,115",
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of molilizations under Article 8.Clause 3 - The State Budget Law",,
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","1,200",
5,Dự phòng - Contingencies,"29,500",
,,,
Ghi chú: (1) Dự thu NSĐP năm 2007 chưa kể thu tiền vay sẽ phát sinh,
(2) Tổng dự toán chi năm 2007 chưa bao gồm chi từ nguồn vay,
Remark: (1) Plan of revenues 2007 of local budget excl. borrowings,
(2) Plan of expenditures excluding expenditure from borrowings,
,,,
