UBND TỈNH VĨNH LONG Mẫu số 10/CKNS-NSĐP VINGLONG PEOPLES COMMITTEE Table 10/CKNS-NSDP,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
,,,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","674,175",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","647,675",
2,Thu từ dầu thô - Oil revenues,,
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","26,500",
4,Thu viện trợ không hoàn lại - Grants,,
II,Thu ngân sách địa phương - Local Budget Revenues,"1,250,859",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","644,075",
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","191,182",
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Revenues shared in percentage","452,893",
2,"Thu bổ sung từ ngân sách Trung ương 
Transfer from the Central Budget","576,191",
,Bổ sung cân đối - Balancing Transfer,"412,725",
,Bổ sung có mục tiêu - Target Transfer,"163,466",
3,"Huy động đầu tư theo khoản 3 Điều 8 của luật NSNN
Investment mobilizations under Article 8.Clause 3 - The State Budget Law",,
4,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","30,593",
III,Chi ngân sách địa phương - Local Budget Expenditures,"1,250,859",
1,"Chi đầu tư phát triển
Development Investment Expenditures","347,132",
2,Chi thường xuyên - Recurrent Expenditures,"801,270",
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN 
Payment for principals and its interest of mobilizations under Article 8.Clause 3 - The State budget law",,
4,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","1,000",
5,Dự phòng ngân sách - Contingencies,"42,269",
6,Nguồn làm lương - Source of salary reform,"6,730",
7,"Chi chương trình mục tiêu
Nation target program expenditure","52,458",
