UBND TỈNH AN GIANG,Mẫu số 12/CKNS-NSĐP
ANGIANG PEOPLES COMMITTEE,Table 12/CKNS-NSDP
,,
DỰ TOÁN THU NGÂN SÁCH NHÀ NƯỚC NĂM 2007
PLAN OF STATE BUDGET REVENUES FY 2007

,Triệu đồng - Millions of dong
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan"
,"TỔNG THU NGÂN SÁCH NHÀ NƯỚC TRÊN ĐỊA BÀN 
TOTAL STATE BUDGET REVENUES IN PROVINCIAL AREA","2,109,000"
A,"Tổng thu các khoản cân đối NSNN
Total balancing revenues","1,586,400"
I,Thu nội địa - Domestic revenues,"1,534,400"
1,Thu từ DNNN trung ương - Central SOEs revenue,"130,000"
2,Thu từ DNNN địa phương - Local SOEs renenue,"120,000"
3,"Thu từ doanh nghiệp có vốn đầu tư nước ngoài 
Foreign invested enterprises revenue","11,000"
4,"Thu từ khu vực CTN, dịch vụ NQD 
Non-state sector revenue","570,000"
5,Lệ phí trước bạ - Registration fees,"65,550"
6,"Thuế sử dụng đất nông nghiệp
Agricultural land use tax",670
7,"Thuế thu nhập đối với người có thu nhập cao
Individual income tax","55,000"
8,Thu xổ số kiến thiết - Lottery revenue,
9,"Thu phí, lệ phí - Fees","98,360"
10,Thu phí xăng dầu - Gasoline fees revenue,"120,000"
11,"Các khoản thu về nhà đất
Housing and land revenues","287,530"
,Thuế nhà đất - Land and housing tax,"12,520"
,"Thuế chuyển quyền sử dụng đất 
Land use right transfer tax","42,000"
,Thu tiền thuê đất - Land rental revenue,"9,700"
,Thu tiền sử dụng đất - Land use revenue,"220,000"
,"Thu tiền bán, thuê nhà ở thuộc sở hữu nhà nước
Sales, leasing of state-owned houses revenue","3,310"
12,"Các khoản thu tại xã
Revenue at commune","10,250"
13,Thu khác ngân sách - Other revenues,"66,040"
II,"Thu thuế xuất khẩu, thuế nhập khẩu, thuế TTĐB, VAT hàng NK do hải quan thu - Export-import duties, special consumption, VAT tax on imports","52,000"
B,"Các khoản thu để lại chi quản lý qua NSNN
Unbalance revenues","522,600"
,"TỔNG THU NGÂN SÁCH ĐỊA PHƯƠNG
TOTAL LOCAL BUDGET REVENUES","2,821,600"
A,"Các khoản thu cân đối NSĐP
Local budget balancing revenues","2,299,000"
1,"Các khoản thu hưởng 100% và phân chia theo tỷ lệ %
Revenue with 100% entitlement and share budgets","1,526,400"
2,"Thu bổ sung từ ngân sách trung ương 
Transfers from the central budget","771,420"
3,"Thu chuyển nguồn ngân sách năm trước
Brought forward revenues","1,180"
B,"Các khoản thu để lại chi quản lý qua NSNN
Unbalance revenues","522,600"
