UBND TỈNH THANH HOÁ,Mẫu số 10/CKNS-NSĐP,
THANHHOA PEOPLES COMMITTEE,Table 10/CKNS-NSDP,
,,,
CÂN ĐỐI DỰ TOÁN NGÂN SÁCH ĐỊA PHƯƠNG NĂM 2007,
PLAN OF LOCAL BUDGETS FY 2007,
,,,
,Triệu đồng - Millions of dong,
"STT
No",Chỉ tiêu - Items,"Dự toán 
Plan",

I,"Tổng thu ngân sách nhà nước trên địa bàn
Total state budget revenues in provincial area","1,706,500",
1,"Thu nội địa (không kể thu dầu thô)
Domestic revenue (excl.oil)","1,664,000",
2,Thu xổ số kiến thiết - Lottery Revenue,"10,000",
3,"Thu từ xuất khẩu, nhập khẩu (số cân đối)
Revenues from import-export, net","32,500",
4,Thu viện trợ không hoàn lại - Grants,,
II,Thu ngân sách địa phương - Local budget revenues,"4,928,634",
1,"Thu ngân sách địa phương hưởng theo phân cấp
Decentralized revenues","1,665,200",
,"Các khoản thu ngân sách địa phương hưởng 100%
Revenues with 100% entitlement","1,665,200",
,"Các khoản thu phân chia NSĐP hưởng theo tỷ lệ %
Revenues shared in percentage",,
2,"Thu bổ sung từ ngân sách Trung ương 
Transfer from the Central Budget","3,258,434",
,Bổ sung cân đối - Balancing Transfer,"2,438,754",
,Bổ sung có mục tiêu - Target Transfer,"819,680",
3,"Huy động nguồn làm lương
Mobilized capital for salary creation","5,000",
III,Chi ngân sách địa phương - Local Budget Expenditure,"4,928,634",
1,"Chi đầu tư phát triển
Development investment expenditures","1,258,205",
2,Chi thường xuyên - Recurrent expenditures,"3,247,149",
3,"Chi trả nợ gốc, lãi các khoản huy động theo K3, Đ8 Luật NSNN
Payment for principals and its interest of Mobilizations under Article 8.Clause 3 - The State Budget Law",,
4,Chi viện trợ - Grants expenditure,"1,500",
5,"Chi bổ sung quỹ dự trữ tài chính 
Transfer to Financial Reserve Fund","3,230",
6,Dự phòng ngân sách - Contingencies,"161,798",
7,"Chương trình MTQG, CT 135, DA 5 triệu ha rừng
National target program, 135 and 5 million hectare reforestation project","256,752",
